address,in_wallet,staked,unstaking,in_terraswap_mars_ust_pair,in_astroport_mars_ust_pair,in_astroport_xmars_mars_pair,in_generator,in_apollo,in_spec,in_auction,in_council,total
terra14pt4wrmy4glv05jdqcus6ac3fvp78hgcdmm6dm,9800000000000,0,0,0,0,0,0,0,0,0,200000000000,10000000000000
terra1lxzc4shqpqffgfe2f4vpr66epjpsnhlnpma07f,0,351385167378,0,0,0,0,2614839564029,0,0,715084145447,0,3681308876854
terra1kcnqj6kmwp0azzt2tnn0cj2gfn9jhuh2hl0sr6,0,2841606080038,0,0,0,0,0,0,0,0,0,2841606080038
terra1e5ncelsh4qhqt3s97vn43hxlhmt7zd43yszdnf,0,1768836237541,0,0,0,0,88049533909,0,0,248118619423,0,2105004390873
terra1ywcj0qmuvfv6v97esqd6qyptsw2cqzya8fx4kf,1883983898402,67330378322,0,0,25458145658,0,0,0,0,34620931524,0,2011393353906
terra147rpaqlajlla9vywry2vfze0f3vgezjn7nnvtk,0,1309962231209,0,0,0,0,0,0,0,485785533532,0,1795747764741
terra1qlza4svxszm7c2j6ll2z2nd6pa55dm2ud79jzu,1458992387213,0,0,0,0,0,0,0,0,147024654617,0,1606017041830
terra1qwazzqydgpms7lutnq8a4q564l75g8sk8xj8ce,1437261103055,0,0,0,0,0,0,0,0,0,0,1437261103055
terra1wqwfwh797tf77e2xpvy9xx082pwpxxlm9x4xws,0,1420854217002,0,0,0,0,0,0,0,0,0,1420854217002
terra17d24afz8h6s5zyx6ewj4r2gavl2knvcp4qt7my,1249999999999,0,0,0,0,0,0,0,0,0,0,1249999999999
terra1dg3usks05hy59q4wd58j5s4jmykaa9ex9qh4vd,0,0,0,0,0,0,0,0,0,1156551957245,0,1156551957245
terra1pt3nat42vpd7fpdcq7swrsp3rpta4r6crtlr9e,1026359192442,0,0,0,0,0,0,0,0,0,0,1026359192442
terra1v5y6v7964gh7pqf09d7c49gfqgya380jwu8pm0,1002209659675,0,0,0,0,0,0,0,0,0,0,1002209659675
terra10wrrhj0kf2yalunn4efxaqfasrmg9xrnseh8sf,0,500608226744,448319113690,0,0,0,0,0,0,0,0,948927340434
terra1dt5deezcgv2mzxlhksqghv5x35yy3sapepl0t2,839116262892,0,0,0,0,0,0,0,0,0,0,839116262892
terra1e82da9n6jz4t42eh0wn5hrt6hdmf7jyq8sufkp,0,824624341130,0,0,0,0,0,0,0,0,0,824624341130
